Wall time,Step,Value
1772347961.1838715,368,4.717475891113281
1772347992.0000646,369,4.417849540710449
1772348022.8772402,370,4.160750389099121
1772348054.628865,371,5.020302772521973
1772348085.9063504,372,4.89415168762207
1772348116.1467757,373,4.992021083831787
1772348143.8534036,374,4.878671169281006
1772348173.028341,375,4.751363754272461
1772348205.3090668,376,4.597763538360596
1772348237.204959,377,4.592428207397461
1772348268.6751816,378,4.7054443359375
1772348300.3404713,379,5.2247138023376465
1772348332.0871582,380,4.430882453918457
1772348364.645677,381,4.62709903717041
1772348396.8947403,382,4.984957695007324
1772348428.7714863,383,4.531679630279541
1772348461.2416534,384,4.4442033767700195
1772348493.0901804,385,4.625813007354736
1772348525.0678072,386,5.132017135620117
1772348557.4020681,387,5.424119472503662
1772348588.6162236,388,4.871841907501221
1772348620.0953038,389,4.656847953796387
1772348651.1137326,390,4.562513828277588
1772348683.254738,391,5.2987060546875
1772348715.145959,392,5.2256550788879395
1772348747.399776,393,4.759357452392578
1772348778.7855873,394,4.696793556213379
1772348809.9398677,395,5.218387126922607
1772348840.2714515,396,5.129199028015137
1772348871.0932016,397,5.039160251617432
1772348901.843896,398,5.029135704040527
1772348932.5936828,399,4.441268444061279
1772348963.3472438,400,5.652727127075195
1772348996.5152266,401,5.372588157653809
1772349027.3854022,402,5.263025760650635
1772349057.8062007,403,5.317809104919434
1772349087.172298,404,5.214875221252441
1772349118.047047,405,4.995564937591553
1772349148.6321385,406,4.999058723449707
1772349180.8395736,407,5.156403541564941
1772349212.4753857,408,5.042705059051514
1772349243.5781028,409,5.300619602203369
1772349274.7313673,410,4.923645496368408
1772349303.4872034,411,5.198125839233398
1772349333.0357027,412,5.4099249839782715
1772349363.9383066,413,5.008563041687012
1772349393.6083295,414,5.154016494750977
1772349425.3686664,415,5.394230842590332
1772349457.8354406,416,5.4937567710876465
1772349490.5118325,417,5.330746173858643
1772349522.748029,418,5.321197986602783
1772349554.1788893,419,5.3039469718933105
1772349587.6676283,420,5.155999183654785
1772349621.4579976,421,5.034699440002441
1772349654.1037116,422,5.474922180175781
1772349686.7610304,423,4.5414252281188965
1772349719.6318982,424,5.612438678741455
1772349752.241817,425,5.044057369232178
1772349785.313291,426,5.2060017585754395
1772349817.1003215,427,5.295886516571045
1772349845.5618794,428,5.228715419769287
1772349874.04688,429,5.259653568267822
1772349904.9334996,430,5.238521575927734
1772349933.3372605,431,5.030881881713867
1772349962.7550464,432,5.088443279266357
1772349990.634906,433,5.175207138061523
1772350018.6236324,434,5.374979019165039
1772350049.6852193,435,5.394761562347412
1772350083.410407,436,5.214945316314697
1772350113.5228474,437,5.275881767272949
1772350144.1626396,438,4.594070911407471
1772350172.021188,439,4.759122848510742
1772350200.054624,440,4.891548156738281
1772350230.6988196,441,5.573838233947754
1772350260.4693463,442,5.138463020324707
1772350290.0437043,443,5.927077770233154
1772350320.7810128,444,5.515159606933594
1772350350.8811088,445,5.121003150939941
1772350380.8812125,446,5.495821475982666
1772350410.461092,447,6.038551330566406
1772350439.556424,448,5.558387756347656
1772350467.487974,449,5.232848644256592
1772350495.6042593,450,5.46105432510376
1772350525.4722645,451,5.487098217010498
1772350553.8820133,452,5.611942768096924
1772350585.4338884,453,5.441184043884277
1772350614.6378121,454,5.154571056365967
1772350643.9541454,455,5.320913314819336
