Wall time,Step,Value
1772338520.960062,58,3.0546255111694336
1772338551.653153,59,2.97526478767395
1772338580.8715055,60,2.8876609802246094
1772338611.1333833,61,2.925739049911499
1772338640.2516408,62,2.8639914989471436
1772338668.4358742,63,3.018359422683716
1772338697.9540226,64,2.8758296966552734
1772338727.3772736,65,2.7615883350372314
1772338756.78891,66,2.8654000759124756
1772338788.3432267,67,2.988480806350708
1772338819.953364,68,3.0514891147613525
1772338850.9499016,69,2.9092648029327393
1772338881.0649023,70,2.8830199241638184
1772338911.7989132,71,2.8400378227233887
1772338943.1017296,72,2.9368999004364014
1772338974.8014483,73,2.7490599155426025
1772339004.764795,74,2.9660725593566895
1772339034.6506581,75,2.9064393043518066
1772339064.586408,76,2.8957290649414062
1772339094.710178,77,2.7824230194091797
1772339124.7007947,78,2.8777689933776855
1772339154.972844,79,2.7846851348876953
1772339185.158136,80,2.672908306121826
1772339216.001008,81,2.6799678802490234
1772339246.061661,82,2.7996761798858643
1772339275.950721,83,2.8858933448791504
1772339305.554123,84,2.8143882751464844
1772339333.8809721,85,2.6812310218811035
1772339364.596341,86,2.7201406955718994
1772339395.0929437,87,2.712873697280884
1772339425.7811673,88,2.7927358150482178
1772339456.4395363,89,2.864410400390625
1772339486.6392272,90,2.680708169937134
1772339517.6956437,91,2.7992911338806152
1772339547.8804352,92,2.810617446899414
1772339577.8358703,93,2.575486898422241
1772339607.9319735,94,2.736100196838379
1772339638.3010063,95,2.7584054470062256
1772339667.9196074,96,2.6444554328918457
1772339697.1270068,97,2.701291799545288
1772339727.4168909,98,2.6251468658447266
1772339757.465569,99,2.693737506866455
1772339787.648178,100,2.6240298748016357
1772339819.8236644,101,2.673815965652466
1772339849.4709306,102,2.6246306896209717
1772339879.3382375,103,2.7729475498199463
1772339909.629348,104,2.7087137699127197
1772339939.3499036,105,2.8205320835113525
1772339969.3575985,106,2.7383105754852295
1772339998.135726,107,2.7126681804656982
1772340027.8115325,108,2.7876152992248535
1772340057.173654,109,2.4909873008728027
1772340086.7173193,110,2.7467451095581055
1772340116.5821314,111,2.657418727874756
1772340145.8904333,112,2.5473103523254395
1772340175.2199988,113,2.6253068447113037
1772340204.8681316,114,2.614006519317627
1772340235.2792525,115,2.7240233421325684
1772340265.5780215,116,2.7628519535064697
1772340295.1110868,117,2.56729793548584
1772340324.8948336,118,2.5174689292907715
1772340354.4870965,119,2.7675795555114746
1772340384.05616,120,2.647915840148926
1772340414.5639832,121,2.5357091426849365
1772340444.114859,122,2.5787298679351807
1772340473.7332628,123,2.596895456314087
1772340503.1737132,124,2.678298234939575
1772340532.7815073,125,2.6082072257995605
1772340561.4233723,126,2.5668857097625732
1772340589.7317255,127,2.3955912590026855
1772340619.681584,128,2.4228835105895996
1772340649.559467,129,2.6363580226898193
1772340679.527589,130,2.458653688430786
1772340711.1356037,131,2.45158052444458
1772340741.3036654,132,2.7287139892578125
1772340771.508439,133,2.4691858291625977
1772340801.1521807,134,2.581277370452881
1772340831.7836149,135,2.2483325004577637
1772340862.2423038,136,2.6565191745758057
1772340892.6585956,137,2.6080985069274902
1772340922.974259,138,2.6015124320983887
1772340953.1623209,139,2.483003854751587
1772340983.2183154,140,2.4149744510650635
1772341012.6742952,141,2.6301674842834473
1772341041.5878518,142,2.5397984981536865
1772341071.1553001,143,2.418159246444702
1772341100.3778667,144,2.5840113162994385
1772341129.9180238,145,2.4552693367004395
1772341159.3665159,146,2.4904778003692627
1772341188.9145725,147,2.507352113723755
1772341218.4953945,148,2.5540931224823
1772341247.8185833,149,2.559403419494629
1772341277.1351337,150,2.379692554473877
1772341308.417721,151,2.436528444290161
1772341337.8475196,152,2.384476661682129
1772341367.3843722,153,2.6519417762756348
1772341396.7056699,154,2.4991228580474854
1772341426.1281013,155,2.378955602645874
1772341456.1665719,156,2.330582857131958
1772341486.4363496,157,2.5333657264709473
1772341516.9333065,158,2.510338544845581
1772341547.2583067,159,2.4616637229919434
1772341577.816844,160,2.3928494453430176
1772341610.29557,161,2.3945300579071045
1772341641.5649042,162,2.4891345500946045
1772341672.8568847,163,2.243971586227417
1772341704.4514244,164,2.344231605529785
1772341735.938284,165,2.41799259185791
1772341767.1355836,166,2.3572258949279785
1772341797.0979664,167,2.389866590499878
1772341827.1232178,168,2.297600030899048
1772341857.048082,169,2.2686498165130615
1772341887.1508837,170,2.379054546356201
1772341918.3551822,171,2.123079538345337
1772341948.8774195,172,2.421800374984741
1772341978.8014052,173,2.482602596282959
1772342008.6495423,174,2.62361741065979
1772342038.6501799,175,2.3460631370544434
1772342068.6672938,176,2.3970131874084473
1772342098.7401555,177,2.2627909183502197
1772342128.846604,178,2.193274974822998
1772342159.4602048,179,2.5047526359558105
1772342192.3673642,180,2.213118553161621
1772342224.7385085,181,2.1808183193206787
1772342255.5129466,182,2.3259365558624268
1772342285.541122,183,2.4323995113372803
1772342313.6115222,184,2.2651233673095703
1772342341.6730702,185,2.4033167362213135
1772342369.6527326,186,2.2648229598999023
1772342397.8022757,187,2.53810453414917
1772342425.940281,188,2.35567307472229
1772342455.9376867,189,2.168785572052002
1772342486.1491911,190,2.3972630500793457
1772342517.5728383,191,2.1487863063812256
1772342547.969409,192,2.279177665710449
1772342578.3965514,193,2.237337350845337
1772342610.0812113,194,2.223273515701294
1772342640.2512054,195,2.2529704570770264
1772342670.5625188,196,2.3763086795806885
1772342700.5516915,197,2.367812395095825
1772342730.749418,198,2.3460474014282227
1772342760.7112708,199,2.231287717819214
1772342790.9436903,200,2.3585407733917236
1772342822.7757766,201,2.3938136100769043
1772342853.2129061,202,2.2131011486053467
1772342882.9851546,203,2.3921666145324707
1772342911.7598329,204,2.2550172805786133
1772342941.9560862,205,2.038024663925171
1772342972.1675382,206,2.2316553592681885
1772343002.3406222,207,2.3877127170562744
1772343032.4550798,208,2.2227706909179688
1772343062.6359046,209,2.3530876636505127
1772343092.8946438,210,2.1495513916015625
1772343124.094309,211,2.4564526081085205
1772343154.2754254,212,2.2536544799804688
1772343183.5037436,213,2.4424028396606445
1772343214.0175986,214,2.2439346313476562
1772343244.0972898,215,2.2893149852752686
1772343274.3120031,216,2.2978756427764893
1772343304.6795177,217,2.3897929191589355
1772343334.811245,218,2.2345945835113525
1772343365.0571246,219,2.3536338806152344
1772343395.5307896,220,2.1939475536346436
1772343426.250203,221,2.31493878364563
1772343456.2140682,222,2.1359403133392334
1772343487.1880102,223,2.391021490097046
1772343518.6456265,224,2.475309371948242
1772343547.9967043,225,2.4680163860321045
1772343577.7569053,226,2.3306362628936768
1772343607.4222171,227,2.0703117847442627
1772343637.5383217,228,2.1169824600219727
1772343667.7796314,229,2.2881827354431152
1772343698.0980392,230,2.129218339920044
1772343729.9761553,231,2.1997222900390625
1772343761.1915965,232,2.3649561405181885
1772343792.5527606,233,2.1789841651916504
1772343821.638326,234,2.182199239730835
1772343852.6355147,235,2.3384759426116943
1772343883.9432266,236,2.2018566131591797
1772343914.0870569,237,2.2376744747161865
1772343944.2415042,238,2.3274197578430176
1772343974.3142838,239,1.988417148590088
1772344004.3707743,240,2.063110589981079
1772344035.5374963,241,2.2324986457824707
1772344065.5990775,242,2.1370935440063477
1772344095.52986,243,2.260406255722046
1772344125.5573716,244,2.300029754638672
1772344155.582811,245,2.2152483463287354
1772344185.485167,246,2.330225944519043
1772344215.6049051,247,2.2976646423339844
1772344246.0973103,248,2.233410120010376
1772344276.3142226,249,2.1876943111419678
1772344306.14353,250,2.3067891597747803
1772344337.738166,251,2.4177896976470947
1772344367.506294,252,2.273965358734131
1772344397.5716927,253,2.208113670349121
1772344427.782986,254,2.0155396461486816
1772344457.9470859,255,2.1455869674682617
1772344488.1613688,256,2.3638498783111572
1772344518.4917023,257,2.2414002418518066
1772344549.3462934,258,2.0958168506622314
1772344578.9404867,259,2.381443500518799
1772344608.7767062,260,2.1009111404418945
1772344639.2705371,261,2.2118704319000244
1772344668.80641,262,2.0358030796051025
1772344698.1489449,263,2.1995997428894043
1772344727.0370765,264,2.215531826019287
1772344754.542373,265,2.1625988483428955
1772344782.1027496,266,2.0147814750671387
1772344809.6730926,267,2.1054911613464355
1772344837.2338512,268,2.140812873840332
1772344864.7615125,269,2.242901563644409
1772344892.304526,270,2.3802316188812256
1772344920.210809,271,2.330245018005371
1772344949.0780256,272,2.0943245887756348
1772344981.183963,273,2.0126118659973145
1772345013.2800784,274,2.194837808609009
1772345045.1176398,275,2.0893893241882324
1772345077.0170703,276,2.301548719406128
1772345108.7818193,277,1.993882656097412
1772345140.0676463,278,2.2448554039001465
1772345171.5618834,279,2.095858335494995
1772345201.1891456,280,2.2682437896728516
1772345229.8891306,281,2.0654640197753906
1772345260.9953315,282,2.0704548358917236
1772345294.8566685,283,2.276646614074707
1772345327.3260467,284,2.366852045059204
1772345359.8303812,285,2.1876707077026367
1772345392.3883188,286,1.99393892288208
1772345424.9170604,287,2.263204574584961
1772345457.482929,288,2.2127692699432373
1772345489.7750795,289,2.2443923950195312
1772345522.1363635,290,2.1648380756378174
1772345555.4169576,291,2.0999319553375244
1772345585.3658476,292,1.9937787055969238
1772345617.3491938,293,1.961369514465332
1772345648.4556632,294,1.9709736108779907
1772345679.755453,295,2.1417665481567383
1772345710.8656125,296,2.25034236907959
1772345742.357203,297,2.1810545921325684
1772345773.7703476,298,1.9856418371200562
1772345804.9743855,299,2.173109769821167
1772345835.652219,300,2.109821081161499
1772345868.5115602,301,2.0458900928497314
1772345899.0234144,302,2.152726650238037
1772345930.3424964,303,2.1864781379699707
1772345961.560752,304,2.028412103652954
1772345991.9574258,305,2.080766439437866
1772346022.3154075,306,2.1071372032165527
1772346052.838645,307,2.05291748046875
1772346083.5435026,308,2.1722230911254883
1772346114.0042,309,1.9761815071105957
1772346144.446568,310,2.1278178691864014
1772346176.1285977,311,2.118997812271118
1772346206.6650448,312,1.9960308074951172
